service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8487323009,1,1,1,1,1,1,1,20251229,20260104
2499957087,1,1,1,1,1,1,1,20260105,20260111
4076420447,1,1,1,1,1,1,1,20260112,20260215
6050819727,1,1,1,1,1,1,1,20260216,20260222
4000176769,1,1,1,1,1,1,1,20260223,20260301
8002686721,1,1,1,1,1,1,1,20260302,20260308
4773958717,1,1,1,1,1,1,1,20260309,20260315
9776829150,1,1,1,1,1,1,1,20260316,20260329
0063122957,1,1,1,1,1,1,1,20260330,20260929
5682410610,1,1,1,1,1,1,1,20251203,20251214
9187956378,1,1,1,1,1,1,1,20251215,20251221
7167826320,1,1,1,1,1,1,1,20251222,20251228
2649599264,1,1,1,1,1,1,1,20251229,20260104
9348424097,1,1,1,1,1,1,1,20260105,20260111
6604002554,1,1,1,1,1,1,1,20260112,20260215
8233417494,1,1,1,1,1,1,1,20260216,20260222
3920282559,1,1,1,1,1,1,1,20260223,20260301
8627571344,1,1,1,1,1,1,1,20260302,20260308
4755936855,1,1,1,1,1,1,1,20260309,20260329
1429793752,1,1,1,1,1,1,1,20260330,20260929
6540121560,1,1,1,1,1,1,1,20251203,20251221
0368146087,1,1,1,1,1,1,1,20251222,20260104
0334922671,1,1,1,1,1,1,1,20260105,20260208
7873246765,1,1,1,1,1,1,1,20260209,20260308
7798048979,1,1,1,1,1,1,1,20260309,20260329
4036857912,1,1,1,1,1,1,1,20260330,20260929
7232932252,1,1,1,1,1,1,1,20251203,20260329
0722642728,1,1,1,1,1,1,1,20251203,20260329
8703625570,1,1,1,1,1,1,1,20251203,20260328
0145399639,1,1,1,1,1,1,1,20260328,20260328
0323238656,1,1,1,1,1,1,1,20251203,20260329
6007571111,1,1,1,1,1,1,1,20260330,20260929
5785005980,1,1,1,1,1,1,1,20251203,20260329
1193538316,1,1,1,1,1,1,1,20260330,20260929
5493316165,1,1,1,1,1,1,1,20251203,20260329
2529279334,1,1,1,1,1,1,1,20260330,20260929
3435932889,1,1,1,1,1,1,1,20251203,20260329
3996762245,1,1,1,1,1,1,1,20260330,20260506
7227320562,1,1,1,1,1,1,1,20260507,20260510
6230724779,1,1,1,1,1,1,1,20260511,20260929
8095897383,1,1,1,1,1,1,1,20251203,20260329
2893767152,1,1,1,1,1,1,1,20260330,20260929
0402110683,1,1,1,1,1,1,1,20251203,20260329
0469870663,1,1,1,1,1,1,1,20260330,20260929
6562118849,1,1,1,1,1,1,1,20251215,20251224
9438299599,1,1,1,1,1,1,1,20251225,20251225
2175085468,1,1,1,1,1,1,1,20251226,20251231
6271424510,1,1,1,1,1,1,1,20260101,20260101
0487667639,1,1,1,1,1,1,1,20260102,20260105
9691083791,1,1,1,1,1,1,1,20260330,20260929
2526666104,1,1,1,1,1,1,1,20251215,20251224
7401294497,1,1,1,1,1,1,1,20251225,20251225
0698345141,1,1,1,1,1,1,1,20251226,20251231
7094039789,1,1,1,1,1,1,1,20260101,20260101
8886123474,1,1,1,1,1,1,1,20260102,20260329
0784769171,1,1,1,1,1,1,1,20260330,20260929
6018511971,0,0,0,1,1,1,1,20251203,20251214
3271627353,0,0,1,1,1,1,0,20251203,20251214
1035882175,1,1,1,1,1,1,1,20251203,20251221
5505078121,1,1,1,1,1,1,1,20251222,20260104
1573817198,1,1,1,1,1,1,1,20260105,20260215
7415316717,1,1,1,1,1,1,1,20260216,20260329
4885113131,1,1,1,1,1,1,1,20260330,20260412
8484930053,1,1,1,1,1,1,1,20260413,20260929
2371257405,1,1,1,1,1,1,1,20251203,20260104
5643281624,1,1,1,1,1,1,1,20260105,20260215
5886632125,1,1,1,1,1,1,1,20260216,20260329
9759576987,1,1,1,1,1,1,1,20260330,20260405
6663918602,1,1,1,1,1,1,1,20260406,20260929
4271688292,1,1,0,0,0,0,0,20251203,20251214
6598566642,0,0,1,1,1,1,0,20251203,20251214
7750417099,1,1,1,1,1,1,0,20251215,20251221
1684260311,1,1,1,1,1,1,1,20251222,20260104
2389762987,1,1,1,1,1,1,1,20260105,20260327
7666337620,0,1,1,0,0,0,0,20251203,20251215
1410051533,0,0,0,1,1,1,1,20251203,20251215
0514660301,0,1,1,1,1,1,1,20251216,20251221
8778853914,1,1,1,1,1,1,1,20251222,20260104
3115478993,1,1,1,1,1,1,1,20260105,20260328
3792979974,1,1,1,1,1,1,1,20260328,20260328
6882658649,1,1,1,1,1,1,1,20251203,20260328
5048459733,1,1,1,1,1,1,1,20260328,20260328
9966874525,1,1,1,1,1,1,1,20251203,20251214
6682186485,1,1,1,1,1,1,1,20251215,20251221
7732596873,1,1,1,1,1,1,1,20251222,20260104
1844359817,1,1,1,1,1,1,1,20260105,20260329
5799696847,1,1,1,1,1,1,1,20251203,20251214
7068974695,1,1,1,1,1,1,1,20251215,20251221
7523141787,1,1,1,1,1,1,1,20251222,20260104
5516779205,1,1,1,1,1,1,1,20251203,20251214
4983396429,1,1,1,1,1,1,1,20251215,20260329
6617190751,1,1,1,1,1,1,1,20251203,20251214
6240400135,1,1,1,1,1,1,1,20251215,20260329
0201847575,1,1,1,1,1,1,1,20251203,20260329
5376938672,1,1,1,1,1,1,1,20260330,20260929
7307935287,1,1,1,1,1,1,1,20251203,20260329
4828502736,1,1,1,1,1,1,1,20260330,20260929
2812760251,1,1,1,1,1,1,1,20251203,20260328
4158835240,1,1,1,1,1,1,1,20260328,20260328
5771920199,1,1,1,1,1,1,1,20260330,20260929
2105090068,1,1,1,1,1,1,1,20251203,20260328
8734412676,1,1,1,1,1,1,1,20260328,20260328
0173548311,1,1,1,1,1,1,1,20260330,20260929
3026175352,1,1,1,1,1,1,1,20251203,20251214
4435895625,1,1,1,1,1,1,1,20251215,20251221
3456439094,1,1,1,1,1,1,1,20251222,20260104
5233148272,1,1,1,1,1,1,1,20260105,20260201
2177750362,1,1,1,1,1,1,1,20260202,20260208
3249017357,1,1,1,1,1,1,1,20260209,20260215
3888292154,1,1,1,1,1,1,1,20260216,20260301
5793954006,1,1,1,1,1,1,1,20260302,20260328
0209706105,1,1,1,1,1,1,1,20260328,20260328
3344487302,1,1,1,1,1,1,1,20260330,20260929
9442373325,1,1,1,1,1,1,1,20251203,20251214
5199145196,1,1,1,1,1,1,1,20251215,20260329
7340272744,1,1,1,1,1,1,1,20251203,20260329
9269163469,1,1,1,1,1,1,1,20251203,20260329
1641113237,1,1,1,1,1,1,1,20251203,20251221
8735394989,1,1,1,1,1,1,1,20251222,20260104
7026052915,1,1,1,1,1,1,1,20260105,20260111
8330032621,1,1,1,1,1,1,1,20260112,20260208
2272159869,1,1,1,1,1,1,1,20260209,20260215
9800051335,1,1,1,1,1,1,1,20260216,20260301
3346488213,1,1,1,1,1,1,1,20260302,20260308
5114363317,1,1,1,1,1,1,1,20260309,20260328
6421485116,1,1,1,1,1,1,1,20260328,20260328
4257393692,1,1,1,1,1,1,1,20251203,20251221
7491719107,1,1,1,1,1,1,1,20251222,20260104
6987870541,1,1,1,1,1,1,1,20260105,20260208
9895432611,1,1,1,1,1,1,1,20260209,20260301
3554525777,1,1,1,1,1,1,1,20260302,20260328
8437717451,1,1,1,1,1,1,1,20260328,20260328
4338301174,1,1,1,1,1,1,1,20251203,20251221
2342913326,1,1,1,1,1,1,1,20251222,20260104
2297258213,1,1,1,1,1,1,1,20260105,20260215
3572414324,1,1,1,1,1,1,1,20260216,20260308
6904855242,1,1,1,1,1,1,1,20260309,20260329
8581536445,1,1,1,1,1,1,1,20251203,20251219
1539626665,1,1,1,1,1,1,1,20251220,20251221
5089353096,1,1,1,1,1,1,1,20251222,20260104
5361517926,1,1,1,1,1,1,1,20260105,20260215
0044237828,1,1,1,1,1,1,1,20260216,20260308
2906114923,1,1,1,1,1,1,1,20260309,20260329
7040902705,1,1,1,1,1,1,1,20251203,20251214
9812359638,1,1,1,1,1,1,1,20251215,20251221
8052603549,1,1,1,1,1,1,1,20251222,20251228
8244732447,1,1,1,1,1,1,1,20251229,20260104
8392092807,1,1,1,1,1,1,1,20260105,20260201
5206703220,1,1,1,1,1,1,1,20260202,20260208
8081704883,1,1,1,1,1,1,1,20260209,20260222
1117801232,1,1,1,1,1,1,1,20260223,20260328
4144581616,1,1,1,1,1,1,1,20260328,20260328
1167377101,1,1,1,1,1,1,1,20260330,20260929
0989115435,1,1,1,1,1,1,1,20251203,20260329
0173569106,1,1,1,1,1,1,1,20251203,20260329
6797648303,1,1,1,1,1,1,1,20251203,20251214
5895071461,1,1,1,1,1,1,1,20251215,20251221
6170845847,1,1,1,1,1,1,1,20251222,20260104
2032040396,1,1,1,1,1,1,1,20260105,20260208
9123660557,1,1,1,1,1,1,1,20260209,20260215
0315427462,1,1,1,1,1,1,1,20260216,20260222
0888799121,1,1,1,1,1,1,1,20260223,20260329
3613267241,1,1,1,1,1,1,1,20251203,20251214
3299483735,1,1,1,1,1,1,1,20251215,20251221
3697700100,1,1,1,1,1,1,1,20251222,20260104
7742278247,1,1,1,1,1,1,1,20260105,20260208
7289588287,1,1,1,1,1,1,1,20260209,20260222
1144045248,1,1,1,1,1,1,1,20260223,20260329
5803188289,1,1,1,1,1,1,1,20251203,20260329
8079888650,1,1,1,1,1,1,1,20260330,20260929
0321885212,1,1,1,1,1,1,1,20251203,20260329
0642895976,1,1,1,1,1,1,1,20260330,20260929
4691406156,1,1,1,1,1,1,1,20251203,20251221
4838013755,1,1,1,1,1,1,1,20251222,20251228
3563707911,1,1,1,1,1,1,1,20251229,20260104
8239055541,1,1,1,1,1,1,1,20260105,20260111
8279801282,1,1,1,1,1,1,1,20260112,20260125
9186319105,1,1,1,1,1,1,1,20260126,20260201
5354741461,1,1,1,1,1,1,1,20260202,20260628
4855249584,1,1,1,1,1,1,1,20251203,20251203
1728300177,1,1,1,1,1,1,1,20251204,20251221
3804105884,1,1,1,1,1,1,1,20251222,20251228
5129112792,1,1,1,1,1,1,1,20251229,20260104
7966623537,1,1,1,1,1,1,1,20260105,20260125
5775364395,1,1,1,1,1,1,1,20260126,20260628
9350998179,1,1,1,1,1,1,1,20251203,20251207
7891329154,1,1,1,1,1,1,1,20251208,20251214
7775441084,1,1,1,1,1,1,1,20251215,20251221
4285517836,1,1,1,1,1,1,1,20251222,20260104
0057585841,1,1,1,1,1,1,1,20260105,20260111
3358479218,1,1,1,1,1,1,1,20260112,20260201
7655306232,1,1,1,1,1,1,1,20260202,20260208
0242352346,1,1,1,1,1,1,1,20260209,20260328
0481422114,1,1,1,1,1,1,1,20260328,20260328
8783122883,1,1,1,1,1,1,1,20260330,20260929
0750519904,1,1,1,1,1,1,1,20251203,20251207
6239903529,1,1,1,1,1,1,1,20251208,20251214
9989722293,1,1,1,1,1,1,1,20251215,20251221
4227914261,1,1,1,1,1,1,1,20251222,20260104
5783923136,1,1,1,1,1,1,1,20260105,20260201
7901124923,1,1,1,1,1,1,1,20260202,20260208
4434118932,1,1,1,1,1,1,1,20260209,20260328
