trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
8958550276,23:50:00,23:59:00,XYL,2,0,0,460
8958550276,28:20:00,28:25:00,TGR,3,0,0,772
8958550276,30:15:00,30:30:00,XLM,4,0,0,911
8958550276,33:25:00,33:30:00,BOL,5,0,0,1144
8958550276,34:50:00,34:50:00,FRZ,6,0,0,1257
8663724260,41:15:00,41:15:00,XPB,1,0,0,0
8663724260,46:50:00,46:59:00,XYL,2,0,0,460
8663724260,51:20:00,51:25:00,TGR,3,0,0,772
8663724260,53:15:00,53:30:00,XLM,4,0,0,911
8663724260,56:25:00,56:30:00,BOL,5,0,0,1144
8663724260,57:50:00,57:50:00,FRZ,6,0,0,1257
3245033113,08:05:00,08:05:00,XTS,1,0,0,0
3245033113,11:05:00,11:20:00,ZFQ,2,0,0,245
3245033113,14:10:00,14:20:00,XLR,3,0,0,407
3245033113,17:10:00,17:20:00,QJZ,4,0,0,594
3245033113,19:05:00,19:05:00,ZFJ,5,0,0,681
2077919327,08:05:00,08:05:00,XTS,1,0,0,0
2077919327,11:05:00,11:20:00,ZFQ,2,0,0,245
2077919327,14:10:00,14:20:00,XLR,3,0,0,407
2077919327,17:10:00,17:20:00,QJZ,4,0,0,594
2077919327,19:05:00,19:05:00,ZFJ,5,0,0,681
4874854135,08:05:00,08:05:00,XTS,1,0,0,0
4874854135,11:05:00,11:20:00,ZFQ,2,0,0,245
4874854135,14:10:00,14:20:00,XLR,3,0,0,407
4874854135,17:10:00,17:20:00,QJZ,4,0,0,594
4874854135,19:05:00,19:05:00,ZFJ,5,0,0,681
0512882784,08:05:00,08:05:00,XTS,1,0,0,0
0512882784,11:05:00,11:20:00,ZFQ,2,0,0,245
0512882784,14:10:00,14:20:00,XLR,3,0,0,407
0512882784,17:10:00,17:20:00,QJZ,4,0,0,594
0512882784,19:05:00,19:05:00,ZFJ,5,0,0,681
1305629393,08:05:00,08:05:00,XTS,1,0,0,0
1305629393,11:05:00,11:20:00,ZFQ,2,0,0,245
1305629393,14:10:00,14:20:00,XLR,3,0,0,407
1305629393,17:10:00,17:20:00,QJZ,4,0,0,594
1305629393,19:05:00,19:05:00,ZFJ,5,0,0,681
0755437580,08:05:00,08:05:00,XTS,1,0,0,0
0755437580,11:05:00,11:20:00,ZFQ,2,0,0,245
0755437580,14:10:00,14:20:00,XLR,3,0,0,407
0755437580,17:10:00,17:20:00,QJZ,4,0,0,594
0755437580,19:05:00,19:05:00,ZFJ,5,0,0,681
2793690168,08:05:00,08:05:00,XTS,1,0,0,0
2793690168,11:05:00,11:20:00,ZFQ,2,0,0,245
2793690168,14:10:00,14:20:00,XLR,3,0,0,407
2793690168,17:10:00,17:20:00,QJZ,4,0,0,594
2793690168,19:05:00,19:05:00,ZFJ,5,0,0,681
1369424567,09:05:00,09:05:00,ZFJ,1,0,0,0
1369424567,10:40:00,10:50:00,QJZ,2,0,0,107
1369424567,13:25:00,13:35:00,XLR,3,0,0,250
1369424567,15:50:00,16:05:00,ZFQ,4,0,0,436
1369424567,19:50:00,19:50:00,XTS,5,0,0,677
9139113466,09:05:00,09:05:00,ZFJ,1,0,0,0
9139113466,10:40:00,10:50:00,QJZ,2,0,0,107
9139113466,13:25:00,13:35:00,XLR,3,0,0,250
9139113466,15:50:00,16:05:00,ZFQ,4,0,0,436
9139113466,19:50:00,19:50:00,XTS,5,0,0,677
3907073339,09:05:00,09:05:00,ZFJ,1,0,0,0
3907073339,10:40:00,10:50:00,QJZ,2,0,0,107
3907073339,13:25:00,13:35:00,XLR,3,0,0,250
3907073339,15:50:00,16:05:00,ZFQ,4,0,0,436
3907073339,19:50:00,19:50:00,XTS,5,0,0,677
5202758120,09:05:00,09:05:00,ZFJ,1,0,0,0
5202758120,10:40:00,10:50:00,QJZ,2,0,0,107
5202758120,13:25:00,13:35:00,XLR,3,0,0,250
5202758120,15:50:00,16:05:00,ZFQ,4,0,0,436
5202758120,19:50:00,19:50:00,XTS,5,0,0,677
4318585890,09:05:00,09:05:00,ZFJ,1,0,0,0
4318585890,10:40:00,10:50:00,QJZ,2,0,0,107
4318585890,13:25:00,13:35:00,XLR,3,0,0,250
4318585890,15:50:00,16:05:00,ZFQ,4,0,0,436
4318585890,19:50:00,19:50:00,XTS,5,0,0,677
1224533766,09:05:00,09:05:00,ZFJ,1,0,0,0
1224533766,10:40:00,10:50:00,QJZ,2,0,0,107
1224533766,13:25:00,13:35:00,XLR,3,0,0,250
1224533766,15:50:00,16:05:00,ZFQ,4,0,0,436
1224533766,19:50:00,19:50:00,XTS,5,0,0,677
0038931066,09:05:00,09:05:00,ZFJ,1,0,0,0
0038931066,10:40:00,10:50:00,QJZ,2,0,0,107
0038931066,13:25:00,13:35:00,XLR,3,0,0,250
0038931066,15:50:00,16:05:00,ZFQ,4,0,0,436
0038931066,19:50:00,19:50:00,XTS,5,0,0,677
6805783944,07:20:00,07:20:00,ZFQ,1,0,0,0
6805783944,09:45:00,09:50:00,XMW,2,0,0,208
6805783944,10:35:00,10:45:00,XTS,3,0,0,256
6805783944,13:25:00,13:30:00,XZR,4,0,0,436
6805783944,14:20:00,14:30:00,XMT,5,0,0,503
6805783944,16:25:00,16:30:00,MAA,6,0,0,658
6805783944,17:15:00,17:25:00,XRF,7,0,0,683
6805783944,19:45:00,19:50:00,XCN,8,0,0,853
6805783944,20:15:00,20:15:00,NCE,9,0,0,883
4941490672,07:20:00,07:20:00,ZFQ,1,0,0,0
4941490672,09:45:00,09:50:00,XMW,2,0,0,208
4941490672,10:35:00,10:45:00,XTS,3,0,0,256
4941490672,13:25:00,13:30:00,XZR,4,0,0,436
