route_id,service_id,trip_id,trip_short_name,trip_headsign,wheelchair_accessible,bikes_allowed
5685690808,5224105874,5224105874,53925,XTS,1,0
7211728816,1259156302,1259156302,53925,XTS,1,0
0269317775,3067392794,3067392794,53925,XTS,1,0
0269317775,0354307292,0354307292,53925,XTS,1,0
2352450245,1928471486,1928471486,53926,PPM,1,0
3092529269,5446464388,5446464388,53926,PPM,1,0
6467046469,2854793968,2854793968,53926,PPM,1,0
4424198519,7463415396,7463415396,53926,PPM,1,0
4424198519,8446892941,8446892941,53926,PPM,1,0
1599337874,6145352709,6145352709,53067,AGN,1,0
1703002377,9766004767,9766004767,53068,PPM,1,0
3323065439,2981178690,2981178690,53072,PPM,1,0
6947487390,0571736237,0571736237,53071,CHX,1,0
0097045935,5612800722,5612800722,93272,ZYR,1,0
4520282816,4676416763,4676416763,93272,ZYR,1,0
4520282816,9923793695,9923793695,93272,ZYR,1,0
0675399642,4640461506,4640461506,93271,ALI,1,0
9805333003,4378413198,4378413198,93271,ALI,1,0
4496412244,1475917554,1475917554,88194,XRN,1,0
4686359795,9592388919,9592388919,88194,XRN,1,0
6670585537,7536000153,7536000153,88194,XRN,1,0
3252651042,6587835918,6587835918,88194,XRN,1,0
4080298968,8391144737,8391144737,88194,XRN,1,0
4321911908,7331698817,7331698817,88194,XRN,1,0
2646543731,8324343586,8324343586,88194,XRN,1,0
3529645839,5611936175,5611936175,88197,QJZ,1,0
0405557712,3847397755,3847397755,88197,QJZ,1,0
6947623957,7206847888,7206847888,88197,QJZ,1,0
7200090984,7314609513,7314609513,88197,QJZ,1,0
3208085086,6588723166,6588723166,88197,QJZ,1,0
5341574360,2381937413,2381937413,88197,QJZ,1,0
2473682224,7280520859,7280520859,51908,PPM,1,0
0304241862,4956736625,4956736625,51908,PPM,1,0
2586594712,5119212790,5119212790,51908,PPM,1,0
2239748154,2594481013,2594481013,51908,PPM,1,0
7512769176,0443037912,0443037912,51909,ZFJ,1,0
4367810891,2782748878,2782748878,51909,ZFJ,1,0
3602369322,6197104728,6197104728,51909,ZFJ,1,0
9041850916,6548269070,6548269070,51909,ZFJ,1,0
9283514523,7822820126,7822820126,4003,MDS,1,0
3071801446,3936282797,3936282797,4003,MDS,1,0
5474141089,7205565004,7205565004,4003,MDS,1,0
7587490313,9094330427,9094330427,4003,MDS,1,0
3177114770,5353710544,5353710544,4003,MDS,1,0
3177114770,3688586343,3688586343,4003,MDS,1,0
3177114770,9186333548,9186333548,4003,MDS,1,0
1722893787,2367289286,2367289286,4004,XPB,1,0
7594777628,0473586973,0473586973,4004,XPB,1,0
4945680617,6860503549,6860503549,4004,XPB,1,0
7202497753,4481255763,4481255763,4004,XPB,1,0
6864032654,5257781840,5257781840,4004,XPB,1,0
6864032654,2277976099,2277976099,4004,XPB,1,0
6864032654,6339100811,6339100811,4004,XPB,1,0
5507803936,8309515277,8309515277,7594,XPB,1,0
9096266021,0482646788,0482646788,7594,XPB,1,0
8706230977,8352705445,8352705445,7594,XPB,1,0
2033481416,5081246849,5081246849,7595,XGC,1,0
4090496638,0851641679,0851641679,7595,XGC,1,0
4008602812,3136597541,3136597541,50942,XBM,1,0
3948818431,6035205364,6035205364,50942,XBM,1,0
8071117796,4846174861,4846174861,50942,XBM,1,0
7530710658,3244572326,3244572326,50943,XYL,1,0
9614877448,1914095355,1914095355,50943,XYL,1,0
8467437237,8084156043,8084156043,50943,XYL,1,0
9150390048,2253708563,2253708563,51087,AGN,1,0
8055173528,8371711264,8371711264,51087,AGN,1,0
